S.No,Date,Prvs Closing,Capital Add,Opn Bal,Cash,Online,Roinet,Jio,Go2Sms,Credit,Pending,Damages,Expense,Total,Wthdrwl,Cls Bal,,,,,,,,,,,,
817,25-Aug-2025,267882,₹ 0,"₹ 2,67,882","₹ 1,42,250","₹ 59,655","₹ 13,369","₹ 6,663",₹ 321,"₹ 27,039","₹ 22,755",₹ 0,₹ 0,"₹ 2,72,052",₹ 0,"₹ 2,72,052",,,,,,,,,,,,
818,26-Aug-2025,272052,₹ 0,"₹ 2,72,052","₹ 1,42,250","₹ 59,655","₹ 13,369","₹ 6,663",₹ 321,"₹ 27,039","₹ 22,755",₹ 0,₹ 0,"₹ 2,72,052",₹ 0,"₹ 2,72,052",,,,,,,,,,,,
819,27-Aug-2025,272052,₹ 0,"₹ 2,72,052","₹ 1,55,090","₹ 54,981","₹ 9,236","₹ 6,266",₹ 321,"₹ 27,039","₹ 21,970",₹ 0,₹ 0,"₹ 2,74,903",₹ 0,"₹ 2,74,903",,,,,,,,,,,,
820,28-Aug-2025,274903,₹ 0,"₹ 2,74,903","₹ 2,36,020","₹ 7,265",₹ 694,"₹ 5,399",₹ 321,"₹ 29,359",₹ 0,₹ 0,₹ 0,"₹ 2,79,058",₹ 0,"₹ 2,79,058",,,,,,,,,,,,
821,29-Aug-2025,279058,₹ 0,"₹ 2,79,058","₹ 2,04,270","₹ 31,997","₹ 12,538","₹ 5,399",₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 120,"₹ 2,81,684",₹ 0,"₹ 2,81,564",,,,,,,,,,,,
822,30-Aug-2025,281564,₹ 0,"₹ 2,81,564","₹ 1,47,390","₹ 1,03,438","₹ 2,452","₹ 4,264",₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,84,904",₹ 0,"₹ 2,84,904",,,,,,,,,,,,
823,31-Aug-2025,284904,₹ 0,"₹ 2,84,904","₹ 1,09,940","₹ 1,33,785","₹ 13,490","₹ 3,182",₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,87,757","₹ 84,500","₹ 2,03,257",,,,,,,,,,,,
824,1-Sep-2025,203257,₹ 0,"₹ 2,03,257","₹ 1,24,560","₹ 50,692",₹ 619,"₹ 2,565",₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,05,796",₹ 0,"₹ 2,05,796",,,,,,,,,,,,
825,2-Sep-2025,205796,₹ 0,"₹ 2,05,796","₹ 1,29,860","₹ 34,358","₹ 9,491","₹ 1,530",₹ 321,"₹ 27,039","₹ 6,810",₹ 0,₹ 0,"₹ 2,09,409",₹ 0,"₹ 2,09,409",,,,,,,,,,,,
826,3-Sep-2025,209409,₹ 0,"₹ 2,09,409","₹ 1,08,930","₹ 53,286","₹ 14,376",₹ 489,₹ 321,"₹ 27,039","₹ 6,810",₹ 0,₹ 230,"₹ 2,11,481",₹ 0,"₹ 2,11,251",,,,,,,,,,,,
827,4-Sep-2025,211251,₹ 0,"₹ 2,11,251","₹ 1,63,050","₹ 11,448","₹ 4,380","₹ 1,285",₹ 321,"₹ 27,039","₹ 6,810",₹ 0,₹ 957,"₹ 2,15,290",₹ 0,"₹ 2,14,333",,,,,,,,,,,,
828,5-Sep-2025,214333,₹ 0,"₹ 2,14,333","₹ 1,43,940","₹ 42,647","₹ 2,547",₹ 800,₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,17,294",₹ 0,"₹ 2,17,294",,,,,,,,,,,,
829,6-Sep-2025,217294,₹ 0,"₹ 2,17,294","₹ 1,71,530","₹ 17,558","₹ 2,255",₹ 123,₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,18,826",₹ 0,"₹ 2,18,826",,,,,,,,,,,,
830,7-Sep-2025,218826,₹ 0,"₹ 2,18,826","₹ 1,10,390","₹ 73,028","₹ 10,177",₹ 104,₹ 321,"₹ 27,039",₹ 0,₹ 0,₹ 0,"₹ 2,21,059",₹ 0,"₹ 2,21,059",,,,,,,,,,,,
831,8-Sep-2025,221059,₹ 0,"₹ 2,21,059","₹ 1,26,870","₹ 49,463","₹ 5,539",₹ 893,₹ 321,"₹ 27,039","₹ 13,940",₹ 0,₹ 0,"₹ 2,24,065",₹ 0,"₹ 2,24,065",,,,,,,,,,,,
832,9-Sep-2025,224065,₹ 0,"₹ 2,24,065","₹ 1,78,140","₹ 6,326","₹ 8,328",₹ 84,₹ 321,"₹ 20,589","₹ 13,940",₹ 0,"₹ 1,000","₹ 2,28,728",₹ 0,"₹ 2,27,728",,,,,,,,,,,,
833,10-Sep-2025,227728,₹ 0,"₹ 2,27,728","₹ 1,51,810","₹ 41,862","₹ 2,122",₹ 356,₹ 321,"₹ 20,589","₹ 13,940",₹ 0,₹ 0,"₹ 2,31,000",₹ 0,"₹ 2,31,000",,,,,,,,,,,,
834,11-Sep-2025,231000,₹ 0,"₹ 2,31,000","₹ 79,510","₹ 1,26,873","₹ 2,721","₹ 2,291",₹ 321,"₹ 20,589",₹ 0,₹ 0,"₹ 4,600","₹ 2,36,905",₹ 0,"₹ 2,32,305",,,,,,,,,,,,
835,12-Sep-2025,232305,₹ 0,"₹ 2,32,305","₹ 1,24,310","₹ 86,167","₹ 2,334","₹ 2,034",₹ 321,"₹ 20,289",₹ 0,₹ 0,₹ 0,"₹ 2,35,455",₹ 0,"₹ 2,35,455",,,,,,,,,,,,
836,13-Sep-2025,235455,₹ 0,"₹ 2,35,455","₹ 2,04,590","₹ 4,002",₹ 597,"₹ 10,687",₹ 321,"₹ 20,289",₹ 0,₹ 0,₹ 0,"₹ 2,40,486",₹ 0,"₹ 2,40,486",,,,,,,,,,,,
837,14-Sep-2025,240486,₹ 0,"₹ 2,40,486","₹ 1,72,840","₹ 40,684",₹ 407,"₹ 9,474",₹ 321,"₹ 20,289",₹ 0,₹ 0,₹ 0,"₹ 2,44,015",₹ 0,"₹ 2,44,015",,,,,,,,,,,,
838,15-Sep-2025,244015,₹ 0,"₹ 2,44,015","₹ 1,52,880","₹ 67,314",₹ 588,"₹ 8,409",₹ 321,"₹ 20,289",₹ 0,₹ 0,₹ 850,"₹ 2,50,651",₹ 0,"₹ 2,49,801",,,,,,,,,,,,
839,16-Sep-2025,249801,₹ 0,"₹ 2,49,801","₹ 1,75,600","₹ 18,872","₹ 12,706","₹ 8,390",₹ 321,"₹ 20,289","₹ 16,772",₹ 0,₹ 0,"₹ 2,52,950",₹ 0,"₹ 2,52,950",,,,,,,,,,,,
840,17-Sep-2025,252950,₹ 0,"₹ 2,52,950","₹ 1,05,390","₹ 99,095","₹ 6,671","₹ 6,866",₹ 321,"₹ 20,289","₹ 16,772",₹ 0,₹ 140,"₹ 2,55,544",₹ 0,"₹ 2,55,404",,,,,,,,,,,,
841,18-Sep-2025,255404,₹ 0,"₹ 2,55,404","₹ 1,84,060","₹ 38,172","₹ 2,744","₹ 6,429",₹ 321,"₹ 20,289","₹ 6,000",₹ 0,"₹ 3,500","₹ 2,61,515",₹ 0,"₹ 2,58,015",,,,,,,,,,,,
842,19-Sep-2025,258015,₹ 0,"₹ 2,58,015","₹ 1,35,860","₹ 67,060","₹ 15,490","₹ 5,376",₹ 321,"₹ 21,390","₹ 15,550",₹ 0,"₹ 2,000","₹ 2,63,047",₹ 0,"₹ 2,61,047",,,,,,,,,,,,
